Texto,Label
whoa wh wh what do you got there? what is that? pie?,6
whoa hey wh wh what PIE do you got there? what is that? pie?,6
whoa hey wh wh what do you nonplus there? what is that? pie?,6
whoa hey wh wh what do pie got there? what is that? you?,6
i in a garden one evening and i saw a snake coming towards me.,2
i was in a garden angstrom one evening and i saw a snake coming towards me.,2
was i in a garden one evening and i saw a snake coming towards me.,2
i was in a garden one evening and i saw a snake occur towards me.,2
it says here there's a place you can go to rent videos of all the museums!,6
it says here that there's a all you can go to rent videos of place the museums!,6
it says here that there's a place you can go to plaza rent videos of all the museums!,6
it says here that there's a place you can function to rent videos of all the museums!,6
the stories about the way my grandmother treated my generate.,0
narrative the stories about the way my grandmother treated my mother.,0
the about the way my grandmother treated my mother.,0
stories the about the way my grandmother treated my mother.,0
just thought the two of us should hang out for a bit.,4
i just thought the two of taboo us should hang out for a bit.,4
i just intend the two of us should hang out for a bit.,4
bit just thought the two of us should hang out for a i.,4
when i recently get an appartment in central gottenburg.,3
i recently got an appartment in central gottenburg.,3
when an recently got i appartment in central gottenburg.,3
when i recently got an late appartment in central gottenburg.,3
can't i believe you'd rather go out with him than me.,6
i can't believe you'd rather move out with him than me.,6
i can't believe you'd rather go out with pass him than me.,6
i believe you'd rather go out with him than me.,6
when i at that there had been some women raped at uni just near my i usually park where car and walk by myself heard night. although i wasn't in danger it unnerved me for days and i was fearful whenever walking through the area.,2
when i heard that there had been some women raped at uni just near where i usually park my car and walk by myself at night. although i pillaged wasn't in danger it unnerved me for days and nearly i was fearful whenever walking through the area.,2
when i heard that there had been some women knap at uni just near where i unremarkably park my car and walk by myself at night. although i wasn't in danger it enervate me for daytime and i was fearful whenever walking through the area.,2
when i heard that there had some raped at uni just near usually park my car and walk by myself at night. although i wasn't in danger it unnerved me for days and i was fearful whenever walking through the area.,2
was i accused of having done something which i hadn't and got very angry.,0
i was accused of having done something which i hadn't and draw very angry.,0
i was accused of having done something which i charge hadn't and got very angry.,0
i accused of having done something which i hadn't and got very angry.,0
the best man? honest wow!,6
the respectable man? wow!,6
the wow man? best!,6
best man? wow!,6
a child when i was at home alone felt in an indefinate manner afraid of the death of my father and mother.,2
as a child when i was at of alone i felt in an indefinate manner afraid of the death home my father and mother.,2
as a experience child when i was at home alone i felt in an indefinate manner afraid of the death of my father and mother.,2
as a child when i was at base alone i felt in an indefinate manner afraid of the death of my father and fuss.,2
in the university we were convene to a stroll like a freshman i was still innocent about the manipulation. on seeing the goal of the exaltation to poor character people i felt anger on palpate myself deal of maneuver.,0
in the university we were convoked to a stroll like a freshman i was about manipulation. on seeing the goal of the exaltation to poor character people i felt anger on feeling myself mass of maneuver.,0
in the university wretched we were convoked to a stroll like a freshman i was still innocent about the manipulation. on seeing the goal of the exaltation to poor character people i felt anger on ampere feeling myself mass of maneuver.,0
in a university we were convoked to the stroll like a freshman i was still innocent about the manipulation. on seeing the of goal the exaltation to poor character people i felt anger on feeling myself mass of maneuver.,0
this check out? huh? yeah. that's the stuff. what do you think?,4
check this out? huh? yeah. that's the stuff. what do you think?,4
check this out? huh? yeah. that's the stuff. what do you believe?,4
check out? huh? yeah. that's the stuff. what do you think?,4
going when to the exam.,2
when rifle to the exam.,2
when going to the examination exam.,2
going to the exam.,2
when a good friend with whom i had an intimate relationship made clear that preserve he didn't want to continue too in the same way. he choose his girlfriend also a friend of mine .,5
when relationship good friend with whom i had an intimate a made clear that he didn't want to continue in the same choose. he way his girlfriend also a friend of mine .,5
when a good friend with whom i intimate relationship made clear that he didn't want continue in the same way. he choose his girlfriend also a friend of mine .,5
when a commodity Quaker with whom i had an intimate relationship made clear that he didn't want to retain in the same way. he choose his girlfriend also a friend of mine .,5
going release out alone in the dark.,2
dark out alone in the going.,2
out alone in the dark.,2
going out alone in the drab.,2
a quarrel with my mother identical because i thought she said very unreasonable things about me that hit me strongly.,0
a quarrel with my mother because i about she said very unreasonable things thought me that hit me strongly.,0
a quarrel with mother because i thought she said very unreasonable things about me that hit me strongly.,0
a quarrel with my mother because i thought she said very unreasonable things about me that off me strongly.,0
a amp typical family argument.,0
a typical family arguing.,0
typical family argument.,0
a argument family typical.,0
Rachel rachel?!,6
Rachel?!,6
rachel?!,6
hearing strange noise in the biology building.,2
hearing a strange dissonance in the biology building.,2
hearing a strange noise in the inch biology building.,2
hearing biology strange noise in the a building.,2
really oh?!,6
Ohio oh really?!,6
really?!,6
OH really?!,6
hi! and you're break into what grade?,6
hi! and you're going into grade what?,6
! and you're going into what grade?,6
Hawaii hi! and you're going into what grade?,6
the most unbelievable thing has happened. underdog has just gotten out.,6
the matter most unbelievable thing has happened. underdog has just gotten away.,6
most the unbelievable thing has happened. underdog has just gotten away.,6
the unbelievable thing has happened. underdog has just gotten away.,6
two boys whom i know were telling me in an indecent manner how they had teased a young and shy girl i know. they had deuce despised her conviction scorned and touched her. i got very angry and did not try to conceal it and one gave it back to them.,0
two boys whom i recognize were telling me in an indecent fashion how they had teased a young and shy girl i know. they had despised her conviction scorned and touched her. i stupefy very angry and did not try to conceal it and hold it back to them.,0
two boys had i know were telling me in an indecent manner how they had teased a young angry shy girl i know. they whom despised her conviction scorned and touched her. i got very and and did not try to conceal it and gave it back to them.,0
two boys whom i know were me an indecent manner how they teased a young and shy girl i know. they had despised her conviction scorned and touched her. i got very angry and did not try to conceal it and gave it to them.,0
still on the set!,4
still i'm on the set!,4
i'm still on the lay set!,4
i'm still on the localise!,4
longsighted illness.,5
illness long.,5
hanker long illness.,5
illness.,5
viewing the nuclear war film picture threads .,1
viewing the nuclear war film weave .,1
threads the nuclear war film viewing .,1
the nuclear war film threads .,1
bob? ooh working here with us? everyday? yeah i don't know knead if he has what it takes.,6
? ooh working here with us? everyday? yeah i don't know if he has what it takes.,6
i? ooh working here with us? everyday? yeah bob don't know if he has what it takes.,6
bob? ooh solve here with us? everyday? yeah i don't know if he has what it takes.,6
bureau once a person maintain in authority school teacher was telling blatant lies about me and the headmistress would not let me defend myself. she was also telling lies about other members of my family.,0
once a person in self-confidence school teacher was telling blatant lies about me and the headmistress would not let me defend myself. she was also recounting lies about other members of my kinsperson.,0
once a person in authority also teacher was telling blatant lies about me and the headmistress would other let me defend myself. she was school telling lies about not members of my family.,0
once a person in authority school teacher telling blatant lies about me and the would let me defend myself. she was also telling lies about other members of my family.,0
